ime,adresa,dekan,eadresa,faks,telefon,webadresa,id,imestudija,razinastudija,brojsemestara,nacinizvedbe,akgodina,fakultetid
Fakultet organizacije i informatike,"Pavlinska 2, 42000 Varaždin",prof. dr. sc. Nina Begičević Ređep,ured-dekana@foi.hr,+385 42 213 413,+385 42 390 800,www.foi.unizg.hr,6,Informacijski i poslovni sustavi,preddiplomski,6,redovan,2022,6
Fakultet organizacije i informatike,"Pavlinska 2, 42000 Varaždin",prof. dr. sc. Nina Begičević Ređep,ured-dekana@foi.hr,+385 42 213 413,+385 42 390 800,www.foi.unizg.hr,6,Informacijski i poslovni sustavi,preddiplomski,6,izvanredni,2022,6
Farmaceutsko-biokemijski fakultet,"Ante Kovačića 1, 10000 Zagreb",izv. prof. dr. sc. Jasmina Lovrić,dekanat@pharma.hr,+385 1 639 44 00,+385 1 481 82 88,www.pharma.unizg.hr,7,Farmacija,integrirani preddiplomski i diplomski sveučilišni,10,redovan,2022,7
Farmaceutsko-biokemijski fakultet,"Ante Kovačića 1, 10000 Zagreb",izv. prof. dr. sc. Jasmina Lovrić,dekanat@pharma.hr,+385 1 639 44 00,+385 1 481 82 88,www.pharma.unizg.hr,7,Medicinska biokemija,integrirani preddiplomski i diplomski sveučilišni,10,redovan,2022,7
Geodetski fakultet,"Kačićeva 26, 10000 Zagreb",izv. prof. dr. sc. Almin Đapo,dekan@geof.hr,+385 1 482 80 81,+385 1 463 92 22,www.geof.unizg.hr,8,Geodezija i geoinformatika,preddiplomski,6,redovan,2022,8
Geodetski fakultet,"Kačićeva 26, 10000 Zagreb",izv. prof. dr. sc. Almin Đapo,dekan@geof.hr,+385 1 482 80 81,+385 1 463 92 22,www.geof.unizg.hr,8,Geodezija i geoinformatika,diplomski,4,redovan,2022,8
Građevinski fakultet,"Fra Andrije Kačića Miošića 26, 10000 Zagreb",izv. prof. dr. sc. Domagoj Damjanović,ured_dekana@grad.hr,+385 1 463 92 06,+385 1 463 92 22,www.grad.unizg.hr,9,Građevinarstvo,preddiplomski,6,redovan,2022,9
Građevinski fakultet,"Fra Andrije Kačića Miošića 26, 10000 Zagreb",izv. prof. dr. sc. Domagoj Damjanović,ured_dekana@grad.hr,+385 1 463 92 06,+385 1 463 92 22,www.grad.unizg.hr,9,Građevinarstvo,diplomski,4,redovan,2022,9
Kineziološki fakultet,"Horvaćanski zavoj 15, 10000 Zagreb",izv. prof. dr. sc. Mario Baić,dekanat@kif.hr,+385 1 363 41 46,+385 1 365 86 66,www.kif.unizg.hr,10,Kineziologija,integrirani preddiplomski i diplomski sveučilišni,10,redovan,2022,10
Kineziološki fakultet,"Horvaćanski zavoj 15, 10000 Zagreb",izv. prof. dr. sc. Mario Baić,dekanat@kif.hr,+385 1 363 41 46,+385 1 365 86 66,www.kif.unizg.hr,10,Kineziologija,poslijediplomski doktorski sveučilišni,6,izvanredni,2022,10
Ekonomski fakultet,"Kennedyjev trg 6, 10000 Zagreb",izv. prof. dr. sc. Sanja Sever Mališ,dean@efzg.hr,+385 1 230 84 72,+385 1 238 33 33,www.efzg.unizg.hr,4,Ekonomija,preddiplomski,8,redovan,2022,4
